id,day,month,year,TMAX,TMIN
MX17004,30,1,2010,278,145
MX17004,2,2,2010,273,144
MX17004,3,2,2010,241,144
MX17004,11,2,2010,297,134
MX17004,23,2,2010,299,107
MX17004,5,3,2010,321,142
MX17004,10,3,2010,345,168
MX17004,16,3,2010,311,176
MX17004,27,4,2010,363,167
MX17004,27,5,2010,332,182
MX17004,17,6,2010,280,175
MX17004,29,6,2010,301,180
MX17004,3,7,2010,286,175
MX17004,14,7,2010,299,165
MX17004,5,8,2010,296,158
MX17004,8,8,2010,290,173
MX17004,13,8,2010,298,165
MX17004,23,8,2010,264,150
MX17004,25,8,2010,297,156
MX17004,29,8,2010,280,153
MX17004,31,8,2010,254,154
MX17004,5,10,2010,270,140
MX17004,7,10,2010,281,129
MX17004,14,10,2010,295,130
MX17004,15,10,2010,287,105
MX17004,28,10,2010,312,150
MX17004,2,11,2010,313,163
MX17004,4,11,2010,272,120
MX17004,5,11,2010,263,79
MX17004,26,11,2010,281,121
MX17004,27,11,2010,277,142
MX17004,1,12,2010,299,138
MX17004,6,12,2010,278,105
